Genome	near_lem_bins_renamed_concat.fasta/near_lem_2018.qcd.fastq.gz Mean
near_lem_2018_bin.10	1707.7029
near_lem_2018_bin.11	12.57841
near_lem_2018_bin.12	122.508575
near_lem_2018_bin.13	5.6595945
near_lem_2018_bin.14	21.013054
near_lem_2018_bin.15	5.934623
near_lem_2018_bin.16	26.168955
near_lem_2018_bin.17	6.2887907
near_lem_2018_bin.18	8.67573
near_lem_2018_bin.19	12.48754
near_lem_2018_bin.1	11.439588
near_lem_2018_bin.20	34.73668
near_lem_2018_bin.21	11.026934
near_lem_2018_bin.22	13.013888
near_lem_2018_bin.23	41.4705
near_lem_2018_bin.24	645.1477
near_lem_2018_bin.25	8.349123
near_lem_2018_bin.26	19.49696
near_lem_2018_bin.27	9.165178
near_lem_2018_bin.28	10.501332
near_lem_2018_bin.29	5.138599
near_lem_2018_bin.2	6.297816
near_lem_2018_bin.30	48.821247
near_lem_2018_bin.31	26.774332
near_lem_2018_bin.3	8.0573225
near_lem_2018_bin.4	2008.1686
near_lem_2018_bin.5	2363.1348
near_lem_2018_bin.6	13.225832
near_lem_2018_bin.7	9.128461
near_lem_2018_bin.8	1815.4352
near_lem_2018_bin.9	7.295634
