Bin Id	Completeness	Contamination	Genome size (bp)	# scaffolds	N50 (scaffolds)	Mean scaffold length (bp)	Longest scaffold (bp)	GC	# predicted genes
baby_lem_2018_bin.1	98.06	0.28	2428389	48	85200	50591	160518	56.8	2185
baby_lem_2018_bin.10	2.29	0.00	217920	42	5825	5188	22008	64.0	262
baby_lem_2018_bin.11	81.90	24.55	2969332	552	6094	5379	24123	29.5	3286
baby_lem_2018_bin.12	100.00	0.37	2010121	74	40203	27163	158525	52.0	1897
baby_lem_2018_bin.13	1.72	0.00	398825	24	22334	16617	51532	48.9	405
baby_lem_2018_bin.14	3.04	0.50	240149	29	11650	8281	32377	65.9	268
baby_lem_2018_bin.15	99.70	0.24	3399855	53	104221	64148	280450	64.5	3009
baby_lem_2018_bin.16	5.92	0.00	3558522	1122	3087	3171	7024	59.7	7007
baby_lem_2018_bin.17	3.61	0.00	4282961	1354	3062	3163	7362	58.6	8106
baby_lem_2018_bin.18	12.74	0.00	531545	167	3099	3182	9549	65.4	593
baby_lem_2018_bin.19	59.29	1.02	1293136	301	4482	4296	16822	49.2	1438
baby_lem_2018_bin.2	100.00	1.02	2337411	26	196324	89900	391378	31.2	2401
baby_lem_2018_bin.20	24.42	0.00	413448	126	3208	3281	7557	32.2	502
baby_lem_2018_bin.21	0.00	0.00	437456	6	135284	72909	146328	27.9	435
baby_lem_2018_bin.3	5.64	0.00	225825	76	2857	2971	5024	70.7	278
baby_lem_2018_bin.4	17.24	0.00	553929	171	3105	3239	5762	68.6	721
baby_lem_2018_bin.5	95.75	5.28	1511732	146	14817	10354	61514	34.7	1631
baby_lem_2018_bin.6	15.13	0.30	255102	77	3279	3313	7005	59.9	316
baby_lem_2018_bin.7	94.34	12.20	3082684	343	14038	8987	53651	64.9	3299
baby_lem_2018_bin.8	98.67	1.90	1602602	128	17628	12520	84401	31.3	1656
baby_lem_2018_bin.9	82.93	0.61	2366791	26	180426	91030	779400	28.7	2310
