user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
near_lem_2018_bin.11	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_005771535.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;s__Halarcobacter sp005771535	81.92	0.64	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_004116565.1, s__Halarcobacter ebronensis, 95.0, 80.02, 0.51; GCF_003346815.1, s__Halarcobacter bivalviorum, 95.0, 80.0, 0.47; GCF_001895145.1, s__Halarcobacter sp001895145, 95.0, 79.93, 0.49; GCA_003252105.1, s__Halarcobacter sp003252105, 95.0, 79.88, 0.45; GCA_002869565.1, s__Halarcobacter sp002869565, 95.0, 79.76, 0.53; GCF_004118855.1, s__Halarcobacter sp004118855, 95.0, 79.76, 0.45; GCF_004116455.1, s__Halarcobacter sp004116455, 95.0, 79.59, 0.46; GCF_004116625.1, s__Halarcobacter mediterraneus, 95.0, 79.49, 0.43; GCF_006459125.1, s__Halarcobacter anaerophilus, 95.0, 79.0, 0.42	59.54	11	0.9632365446247892	Genome has more than 35.0% of markers with multiple hits
near_lem_2018_bin.12	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	92.8	11	0.8216711890774125	N/A
near_lem_2018_bin.13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__UBA6244;s__	N/A	N/A	N/A	N/A	N/A	GCA_002440885.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__UBA6244;s__UBA6244 sp002440885	79.32	0.44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__UBA6244;s__	taxonomic classification defined by topology and ANI	N/A	GCA_001769215.1, s__UBA6244 sp001769215, 95.0, 77.55, 0.17; GCA_002771745.1, s__UBA6244 sp002771745, 95.0, 77.3, 0.18; GCA_002840975.1, s__UBA6244 sp002840975, 95.0, 77.19, 0.18	29.17	11	0.9715165578898577	N/A
near_lem_2018_bin.14	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiorhodovibrio;s__	N/A	N/A	N/A	N/A	N/A	GCF_000228725.2	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiorhodovibrio;s__Thiorhodovibrio sp000228725	78.05	0.32	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiorhodovibrio;s__	taxonomic classification defined by topology and ANI	N/A	GCA_007128075.1, s__Thiorhodovibrio sp007128075, 95.0, 76.22, 0.1	96.47	11	0.9281262312478585	N/A
near_lem_2018_bin.15	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	20.67	11	0.8654325913585129	N/A
near_lem_2018_bin.17	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	N/A	N/A	N/A	N/A	N/A	GCA_001438925.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__Planktophila sp001438925	82.69	0.62	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	taxonomic classification defined by topology and ANI	N/A	GCA_000378885.1, s__Planktophila sp000378885, 95.0, 79.52, 0.43; GCF_002284895.1, s__Planktophila sp002284895, 95.0, 79.26, 0.5; GCF_002288185.1, s__Planktophila vernalis, 95.0, 78.97, 0.51; GCA_005789205.1, s__Planktophila sp005789205, 95.0, 78.61, 0.41; GCA_000372185.1, s__Planktophila sp000372185, 95.0, 78.34, 0.18; GCA_007279945.1, s__Planktophila sp007279945, 95.0, 78.34, 0.3; GCF_002288065.1, s__Planktophila sulfonica, 95.0, 78.3, 0.35; GCA_003569265.1, s__Planktophila sp003569265, 95.0, 78.23, 0.22; GCF_002287925.1, s__Planktophila lacus, 95.0, 78.18, 0.31; GCF_002284855.1, s__Planktophila sp002284855, 95.0, 78.16, 0.3; GCF_002288225.1, s__Planktophila dulcis, 95.0, 78.1, 0.33; GCF_002288365.1, s__Planktophila limnetica, 95.0, 78.03, 0.33; GCF_002284875.1, s__Planktophila sp002284875, 95.0, 77.86, 0.3; GCF_002288105.1, s__Planktophila versatilis, 95.0, 77.37, 0.22; GCA_005800815.1, s__Planktophila sp005800815, 95.0, 76.86, 0.22; GCA_002430075.1, s__Planktophila sp002430075, 95.0, 76.42, 0.18	27.06	11	0.9626619056375929	N/A
near_lem_2018_bin.18	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__GCA-002282575;s__	N/A	N/A	N/A	N/A	N/A	GCA_002281095.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__GCA-002282575;s__GCA-002282575 sp002281095	83.67	0.72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	73.55	11	0.9876218243415059	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
near_lem_2018_bin.19	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Hydrogenovibrio;s__	ANI	N/A	GCF_000711315.1, s__Hydrogenovibrio marinus, 95.0, 77.06, 0.09; GCF_000012605.1, s__Hydrogenovibrio crunogenus_A, 95.0, 76.93, 0.1; GCF_004786015.1, s__Hydrogenovibrio crunogenus_B, 95.0, 76.86, 0.1; GCF_000744875.1, s__Hydrogenovibrio sp000744875, 95.0, 76.8, 0.11; GCF_001507555.1, s__Hydrogenovibrio sp001507555, 95.0, 76.79, 0.11; GCF_004028275.1, s__Hydrogenovibrio thermophilus, 95.0, 76.57, 0.1; GCF_002848135.1, s__Hydrogenovibrio sp002848135, 95.0, 76.55, 0.09; GCF_000526715.1, s__Hydrogenovibrio kuenenii, 95.0, 76.52, 0.11; GCA_002779995.1, s__Hydrogenovibrio sp002779995, 95.0, 76.48, 0.11; GCF_000384235.1, s__Hydrogenovibrio halophilus, 95.0, 76.0, 0.06; GCF_001507535.1, s__Hydrogenovibrio sp001507535, 95.0, 75.96, 0.08; GCA_002299585.1, s__Hydrogenovibrio sp002299585, 95.0, 75.85, 0.05	95.6	11	0.9102912075261584	N/A
near_lem_2018_bin.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1556;g__UBA6267;s__	N/A	N/A	N/A	N/A	N/A	GCA_002440745.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1556;g__UBA6267;s__UBA6267 sp002440745	91.06	0.82	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1556;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	43.27	11	0.9895913387266984	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
near_lem_2018_bin.20	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__	N/A	N/A	N/A	N/A	N/A	GCF_006265245.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochloris vibrioformis	84.84	0.93	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000020625.1, s__Prosthecochloris aestuarii, 95.0, 77.37, 0.17; GCF_002113825.1, s__Prosthecochloris sp002113825, 95.0, 77.34, 0.2; GCF_003344365.2, s__Prosthecochloris sp003344365, 95.0, 77.16, 0.2	45.58	11	0.9748049574507133	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
